Rceipt;tangga;Net;Cust
QSYWABCF3000784;30/05/2024;11000;6B8000004574
QSYWABCF3000788;30/05/2024;24000;6B8000005988
QSYWABCF3000811;30/05/2024;15000;6B800000345A
QSYWABCF3000839;30/05/2024;26000;6B8A9AA840A35
QSYWABCF3000841;30/05/2024;22000;6B8000007A57
QSYWABCF3000850;30/05/2024;15000;6B89570AA67643
QSYWABCF4000857;31/05/2024;13000;6B8000003885
QSYWABCF4000874;31/05/2024;22000;6B85954B80633
QSYWABCF4000886;31/05/2024;14000;6B878A49A8B4A
QSYWABCF4000907;31/05/2024;25000;6B800000655B
QSYWABCF4000912;31/05/2024;47000;6B8A347663803
BUTTAACFa013330;01/05/2024;11000;6B8A6B89740
BUTTAACFa013338;01/05/2024;15000;6B8BA553A8994
BUTTAACFa013340;01/05/2024;18000;6B8AB54537554
BUTTAACFa013341;01/05/2024;37000;6B80000037B0
BUTTAACFa013352;01/05/2024;12000;6B8BA505B658A
BUTTAACFa013358;01/05/2024;30000;6B8ABB80790B9
BUTTAACFa013364;01/05/2024;42000;6B8969A046530
BUTTAACFa013379;01/05/2024;31000;6B8000007464
BUTTAACFa013397;01/05/2024;26000;6B8000004450
BUTTAACFa013399;01/05/2024;15000;6B800000A440
BUTTAACFa013407;01/05/2024;24000;6B8AB56033736
BUTTAACFa013421;01/05/2024;58000;6B85348483639
BUTTAACFa013425;01/05/2024;15000;6B8B35095B6B4
BUTTAACFa013444;01/05/2024;24000;6B87837708074
BUTTAACFa013449;01/05/2024;65000;6B8BA5956A583
BUTTAACFb013464;02/05/2024;15000;6B8000004456
BUTTAACFb013476;02/05/2024;22000;6B8000004766
BUTTAACFb013479;02/05/2024;14000;6B8000004779
BUTTAACFb013481;02/05/2024;30000;6B8BA58505B66
BUTTAACFb013491;02/05/2024;11000;6B89536006A84A
BUTTAACFb013493;02/05/2024;15000;6B8000004606
BUTTAACFb013499;02/05/2024;16000;6B8000000AB8
BUTTAACFb013542;02/05/2024;11000;6B87837708074
BUTTAACFb013565;02/05/2024;11000;6B895389560600
BUTTAACFb013569;02/05/2024;14000;6B8AB5596AA3A
BUTTAACFb013575;02/05/2024;11000;6B800000B437
BUTTAACFb013577;02/05/2024;15000;6B800000B437
BUTTAACFb013584;02/05/2024;17000;6B8000009665
BUTTAACFb013601;02/05/2024;30000;6B800000A70B
BUTTAACFb013604;02/05/2024;14000;6B8BA57054370
BUTTAACFc013627;03/05/2024;11000;6B800000BA06
BUTTAACFc013631;03/05/2024;11000;6B897A4796B7
BUTTAACFc013632;03/05/2024;15000;6B8A345363599
BUTTAACFc013635;03/05/2024;13000;6B8000007884
BUTTAACFc013642;03/05/2024;24000;6B89536006A84A
BUTTAACFc013645;03/05/2024;22000;6B800000544B
BUTTAACFc013661;03/05/2024;32000;6B896B448ABA9
BUTTAACFc013714;03/05/2024;33000;6B85B8409A935
BUTTAACFc013715;03/05/2024;11000;6B85B8409A935
BUTTAACFc013723;03/05/2024;11000;6B8000004B4B
BUTTAACFc013731;03/05/2024;43000;6B8533B5A6039
BUTTAACFc013733;03/05/2024;12000;6B80000093B3
BUTTAACFd013739;04/05/2024;26000;6B8B3533339A3
BUTTAACFd013761;04/05/2024;31000;6B8000000569
BUTTAACFd013769;04/05/2024;11000;6B8000004B4B
BUTTAACFd013776;04/05/2024;29000;6B8969A046530
BUTTAACFd013791;04/05/2024;16000;6B8000007BA8
BUTTAACFd013836;04/05/2024;11000;6B895634830494
BUTTAACFd013849;04/05/2024;22000;6B8000004AA8
BUTTAACFd013860;04/05/2024;27000;6B85A56B44B80
BUTTAACFd013864;04/05/2024;30000;6B8BA5400600A
BUTTAACFe013871;05/05/2024;50000;6B8A5454B4B54
BUTTAACFe013880;05/05/2024;13000;6B80000007B4
BUTTAACFe013893;05/05/2024;14000;6B8000000005
BUTTAACFe013906;05/05/2024;15000;6B800000975A
BUTTAACFe013908;05/05/2024;13000;6B88804538498
BUTTAACFe013912;05/05/2024;33000;6B8969A046530
BUTTAACFe013919;05/05/2024;34000;6B858BB99BA47
BUTTAACFe013928;05/05/2024;11000;6B898375A000
BUTTAACFe013945;05/05/2024;41000;6B897660670B
BUTTAACFe013954;05/05/2024;11000;6B8BB535B4477
BUTTAACFe013960;05/05/2024;29000;6B85B48B39377
BUTTAACFe013963;05/05/2024;26000;6B8000004766
BUTTAACFe013971;05/05/2024;29000;6B8000000006
BUTTAACFe013997;05/05/2024;12000;6B8000008695
BUTTAACFe014007;05/05/2024;14000;6B895605948766
BUTTAACFe014015;05/05/2024;24000;6B878994A0573
BUTTAACFe014021;05/05/2024;11000;6B8000007075
BUTTAACFe014023;05/05/2024;26000;6B800000AB99
BUTTAACFe014026;05/05/2024;13000;6B800000AB99
BUTTAACFf014043;06/05/2024;31000;6B8000007464
BUTTAACFf014065;06/05/2024;15000;6B8000008449
BUTTAACFf014074;06/05/2024;11000;6B800000A99A
BUTTAACFf014084;06/05/2024;15000;6B89570AA67643
BUTTAACFf014093;06/05/2024;26000;6B80000040B5
BUTTAACFf014097;06/05/2024;16000;6B83A5A8775A4
BUTTAACFf014119;06/05/2024;13000;6B8AB56033736
BUTTAACFf014137;06/05/2024;15000;6B8000003AA7
BUTTAACFf014148;06/05/2024;48000;6B85B8409A935
BUTTAACFf014165;06/05/2024;12000;6B8000008467
BUTTAACFf014166;06/05/2024;13000;6B8AB55577897
BUTTAACFg014174;07/05/2024;13000;6B8000003783
BUTTAACFg014175;07/05/2024;16000;6B8BB5309B379
BUTTAACFg014186;07/05/2024;32000;6B8AA5AB5BB5
BUTTAACFg014209;07/05/2024;26000;6B8000005335
BUTTAACFg014223;07/05/2024;22000;6B8000000A45
BUTTAACFg014226;07/05/2024;12000;6B8000000570
BUTTAACFg014266;07/05/2024;11000;6B8000007567
BUTTAACFg014273;07/05/2024;15000;6B8A355995BB8
BUTTAACFg014276;07/05/2024;12000;6B878AA470960
BUTTAACFg014293;07/05/2024;22000;6B8000000353
BUTTAACFg014299;07/05/2024;26000;6B853488486B4
BUTTAACFg014305;07/05/2024;12000;6B8BB55473009
BUTTAACFh014314;08/05/2024;12000;6B8000000570
BUTTAACFh014323;08/05/2024;26000;6B8000004766
BUTTAACFh014344;08/05/2024;15000;6B8AB55577897
BUTTAACFh014348;08/05/2024;30000;6B83A386A8746
BUTTAACFh014359;08/05/2024;30000;6B80000004B5
BUTTAACFh014361;08/05/2024;14000;6B858B033A874
BUTTAACFh014373;08/05/2024;14000;6B800000A053
BUTTAACFh014381;08/05/2024;32000;6B8A348705083
BUTTAACFh014393;08/05/2024;33000;6B85B8409A935
BUTTAACFh014405;08/05/2024;11000;6B8000009644
BUTTAACFh014428;08/05/2024;50000;6B8A34663A946
BUTTAACFh014429;08/05/2024;11000;6B800000B444
BUTTAACFi014452;09/05/2024;14000;6B8AB586A89B0
BUTTAACFi014458;09/05/2024;16000;6B8000003406
BUTTAACFi014467;09/05/2024;11000;6B8A6B89740
BUTTAACFi014473;09/05/2024;11000;6B8BA58888080
BUTTAACFi014477;09/05/2024;17000;6B8000009665
BUTTAACFi014484;09/05/2024;15000;6B80000048A5
BUTTAACFi014492;09/05/2024;28000;6B83A386A8746
BUTTAACFi014528;09/05/2024;34000;6B8575A097889
BUTTAACFi014540;09/05/2024;16000;6B8000007567
BUTTAACFi014565;09/05/2024;26000;6B8000004BB9
BUTTAACFi014567;09/05/2024;14000;6B8000003535
BUTTAACFj014612;10/05/2024;25000;6B8A34663A946
BUTTAACFj014620;10/05/2024;16000;6B8BB5A7ABAA6
BUTTAACFj014622;10/05/2024;12000;6B8000008695
BUTTAACFj014637;10/05/2024;15000;6B8AB55577897
BUTTAACFj014656;10/05/2024;13000;6B800000B453
BUTTAACFj014673;10/05/2024;11000;6B800000BA06
BUTTAACFj014691;10/05/2024;18000;6B8AB54537554
BUTTAACFj014696;10/05/2024;15000;6B8000009665
BUTTAACFj014712;10/05/2024;30000;6B80000070A0
BUTTAACFj014725;10/05/2024;27000;6B85A56B44B80
BUTTAACFk014753;11/05/2024;26000;6B8954A4557A3A
BUTTAACFk014755;11/05/2024;15000;6B8000000A45
BUTTAACFk014767;11/05/2024;11000;6B80000099B4
BUTTAACFk014773;11/05/2024;29000;6B8969A046530
BUTTAACFk014777;11/05/2024;35000;6B895607A77300
BUTTAACFk014783;11/05/2024;25000;6B898375A000
BUTTAACFk014785;11/05/2024;11000;6B8A93A593045
BUTTAACFk014797;11/05/2024;32000;6B858B8608446
BUTTAACFk014802;11/05/2024;22000;6B8000004B4B
BUTTAACFk014803;11/05/2024;26000;6B8000009648
BUTTAACFk014815;11/05/2024;14000;6B8AB5596AA3A
BUTTAACFk014829;11/05/2024;11000;6B895608A90007
BUTTAACFk014840;11/05/2024;24000;6B89637393AB8
BUTTAACFk014843;11/05/2024;35000;6B8000004BB9
BUTTAACFk014851;11/05/2024;24000;6B87837708074
BUTTAACFk014866;11/05/2024;11000;6B8BB5BA9400B
BUTTAACFk014868;11/05/2024;30000;6B8BA5400600A
BUTTAACFl014882;12/05/2024;12000;6B80000037B0
BUTTAACFl014884;12/05/2024;13000;6B8000003B94
BUTTAACFl014896;12/05/2024;16000;6B8969A046530
BUTTAACFl014897;12/05/2024;15000;6B8575A097889
BUTTAACFl014900;12/05/2024;13000;6B85845509695
BUTTAACFl014921;12/05/2024;15000;6B8AA5AB5BB5
BUTTAACFl014925;12/05/2024;13000;6B85A0330AA63
BUTTAACFl014926;12/05/2024;28000;6B878A564A498
BUTTAACFl014928;12/05/2024;25000;6B87837708074
BUTTAACFl014933;12/05/2024;14000;6B8AB5596AA3A
BUTTAACFl014935;12/05/2024;11000;6B8000008494
BUTTAACFl014951;12/05/2024;16000;6B8000007567
BUTTAACFl014966;12/05/2024;35000;6B8000004BB9
BUTTAACFl014973;12/05/2024;15000;6B8A348557567
BUTTAACFl014988;12/05/2024;30000;6B8AA5AB5BB5
BUTTAACFm014995;13/05/2024;13000;6B8385B70A70B
BUTTAACFm014996;13/05/2024;13000;6B858B033A874
BUTTAACFm015005;13/05/2024;12000;6B8AB5466AB66
BUTTAACFm015015;13/05/2024;26000;6B80000087A3
BUTTAACFm015016;13/05/2024;34000;6B85389664A4A
BUTTAACFm015023;13/05/2024;42000;6B899AA97085
BUTTAACFm015024;13/05/2024;99000;6B8A3307AAA9A
BUTTAACFm015046;13/05/2024;61000;6B8BA54B6A348
BUTTAACFm015048;13/05/2024;14000;6B899999A789
BUTTAACFm015075;13/05/2024;14000;6B8BA5A4A766A
BUTTAACFm015088;13/05/2024;15000;6B8AB55577897
BUTTAACFm015100;13/05/2024;15000;6B80000096B3
BUTTAACFm015106;13/05/2024;28000;6B80000096B3
BUTTAACFn015118;14/05/2024;11000;6B8BA59347AB8
BUTTAACFn015126;14/05/2024;19000;6B878A49999A9
BUTTAACFn015130;14/05/2024;37000;6B89536006A84A
BUTTAACFn015132;14/05/2024;27000;6B8969A795045
BUTTAACFn015136;14/05/2024;13000;6B8AB56033736
BUTTAACFn015165;14/05/2024;25000;6B800000B384
BUTTAACFn015173;14/05/2024;26000;6B8000008689
BUTTAACFn015179;14/05/2024;28000;6B80000004A9
BUTTAACFn015196;14/05/2024;15000;6B8BA553A8994
BUTTAACFn015199;14/05/2024;13000;6B8BA55540609
BUTTAACFn015206;14/05/2024;23000;6B8AB5A548899
BUTTAACFn015207;14/05/2024;15000;6B800000A403
BUTTAACFn015214;14/05/2024;11000;6B8000005445
BUTTAACFn015219;14/05/2024;37000;6B8000005A7B
BUTTAACFn015225;14/05/2024;33000;6B8000000964
BUTTAACFn015226;14/05/2024;44000;6B8000000B8B
BUTTAACFn015231;14/05/2024;17000;6B8954A4557A3A
BUTTAACFn015244;14/05/2024;33000;6B8BB55895BB9
BUTTAACFn015251;14/05/2024;13000;6B8000006569
BUTTAACFo015254;15/05/2024;15000;6B89570AA67643
BUTTAACFo015263;15/05/2024;22000;6B8000004766
BUTTAACFo015267;15/05/2024;15000;6B8BA57696A9A
BUTTAACFo015269;15/05/2024;13000;6B89536006A84A
BUTTAACFo015279;15/05/2024;13000;6B8000007884
BUTTAACFo015284;15/05/2024;50000;6B8AB5A778B45
BUTTAACFo015313;15/05/2024;33000;6B8953B5448A34
BUTTAACFo015322;15/05/2024;16000;6B8575A4009A9
BUTTAACFo015332;15/05/2024;14000;6B800000700A
BUTTAACFo015336;15/05/2024;15000;6B8A348394979
BUTTAACFo015338;15/05/2024;16000;6B8000003AA7
BUTTAACFo015344;15/05/2024;30000;6B800000BA06
BUTTAACFo015349;15/05/2024;42000;6B8000007567
BUTTAACFo015352;15/05/2024;55000;6B85B8409A935
BUTTAACFo015376;15/05/2024;13000;6B800000055B
BUTTAACFp015417;16/05/2024;26000;6B8BA55540609
BUTTAACFp015430;16/05/2024;15000;6B87790008444
BUTTAACFp015458;16/05/2024;15000;6B80000047AB
BUTTAACFp015469;16/05/2024;29000;6B8A6496638AB
BUTTAACFp015476;16/05/2024;15000;6B8000009B80
BUTTAACFp015479;16/05/2024;26000;6B800000950B
BUTTAACFp015497;16/05/2024;29000;6B8A348377787
BUTTAACFp015501;16/05/2024;38000;6B8900006778
BUTTAACFp015504;16/05/2024;30000;6B878973A338A
BUTTAACFp015506;16/05/2024;16000;6B8954A4557A3A
BUTTAACFq015512;17/05/2024;15000;6B80000054A8
BUTTAACFq015514;17/05/2024;15000;6B853888555A3
BUTTAACFq015516;17/05/2024;22000;6B8000004766
BUTTAACFq015519;17/05/2024;33000;6B8A348476767
BUTTAACFq015534;17/05/2024;12000;6B8539AA5BAAB
BUTTAACFq015546;17/05/2024;26000;6B80000087A3
BUTTAACFq015559;17/05/2024;13000;6B8000007884
BUTTAACFq015563;17/05/2024;11000;6B85A0330B0A5
BUTTAACFq015574;17/05/2024;16000;6B8954A4557A3A
BUTTAACFq015575;17/05/2024;15000;6B89570AA67643
BUTTAACFq015592;17/05/2024;45000;6B8A5B8405993
BUTTAACFq015598;17/05/2024;33000;6B8A353035558
BUTTAACFq015600;17/05/2024;23000;6B8963A7A4567
BUTTAACFq015623;17/05/2024;16000;6B8AB55577897
BUTTAACFq015625;17/05/2024;15000;6B800000A845
BUTTAACFq015626;17/05/2024;25000;6B8000008695
BUTTAACFq015628;17/05/2024;14000;6B8000007BA8
BUTTAACFq015642;17/05/2024;24000;6B800000BBA5
BUTTAACFr015658;18/05/2024;29000;6B800000A039
BUTTAACFr015659;18/05/2024;15000;6B8000007487
BUTTAACFr015692;18/05/2024;26000;6B8000007553
BUTTAACFr015696;18/05/2024;40000;6B8B3533339A3
BUTTAACFr015707;18/05/2024;18000;6B8AB54537554
BUTTAACFr015730;18/05/2024;11000;6B8000005445
BUTTAACFr015734;18/05/2024;13000;6B8963A7A4567
BUTTAACFr015747;18/05/2024;40000;6B8A5BA4B3BB
BUTTAACFr015777;18/05/2024;15000;6B80000096B3
BUTTAACFr015779;18/05/2024;30000;6B8BA5400600A
BUTTAACFs015786;19/05/2024;15000;6B87790008444
BUTTAACFs015789;19/05/2024;16000;6B8969A046530
BUTTAACFs015793;19/05/2024;13000;6B8000004450
BUTTAACFs015797;19/05/2024;13000;6B89637393AB8
BUTTAACFs015800;19/05/2024;41000;6B85B8409A935
BUTTAACFs015804;19/05/2024;26000;6B8000005447
BUTTAACFs015814;19/05/2024;26000;6B85B45054466
BUTTAACFs015816;19/05/2024;32000;6B858BB99BA47
BUTTAACFs015823;19/05/2024;12000;6B8000008467
BUTTAACFs015824;19/05/2024;15000;6B8A348705083
BUTTAACFs015834;19/05/2024;15000;6B89570AA67643
BUTTAACFs015860;19/05/2024;45000;6B858B8608446
BUTTAACFs015877;19/05/2024;16000;6B85348483639
BUTTAACFs015900;19/05/2024;24000;6B8BB55473009
BUTTAACFs015903;19/05/2024;13000;6B8875303604
BUTTAACFs015914;19/05/2024;16000;6B8000009B50
BUTTAACFs015921;19/05/2024;15000;6B8AB55577897
BUTTAACFt015929;20/05/2024;13000;6B8000003783
BUTTAACFt015934;20/05/2024;25000;6B85750B4B034
BUTTAACFt015939;20/05/2024;28000;6B89536006A84A
BUTTAACFt015941;20/05/2024;15000;6B8000004606
BUTTAACFt015946;20/05/2024;21000;6B8000004766
BUTTAACFt015951;20/05/2024;18000;6B85389664A4A
BUTTAACFt015959;20/05/2024;16000;6B83A5A8775A4
BUTTAACFt015966;20/05/2024;31000;6B800000B384
BUTTAACFt015970;20/05/2024;21000;6B8A345363599
BUTTAACFt015972;20/05/2024;21000;6B878A5360340
BUTTAACFt015975;20/05/2024;33000;6B895607A77300
BUTTAACFt015987;20/05/2024;46000;6B8A348705083
BUTTAACFt016006;20/05/2024;31000;6B800000053A
BUTTAACFt016023;20/05/2024;37000;6B8000006307
BUTTAACFt016031;20/05/2024;16000;6B85967046008
BUTTAACFt016038;20/05/2024;21000;6B89679530A7B
BUTTAACFt016040;20/05/2024;21000;6B8969A48A386
BUTTAACFt016042;20/05/2024;16000;6B80000000B0
BUTTAACFt016046;20/05/2024;37000;6B895364309A94
BUTTAACFu016051;21/05/2024;13000;6B8AB56744765
BUTTAACFu016064;21/05/2024;11000;6B8000000404
BUTTAACFu016065;21/05/2024;43000;6B8AB585879BB
BUTTAACFu016066;21/05/2024;6000;6B8AB585879BB
BUTTAACFu016067;21/05/2024;11000;6B8000005445
BUTTAACFu016068;21/05/2024;40000;6B8A348476767
BUTTAACFu016071;21/05/2024;13000;6B80000044BB
BUTTAACFu016073;21/05/2024;15000;6B800000905A
BUTTAACFu016076;21/05/2024;31000;6B85389664A4A
BUTTAACFu016079;21/05/2024;16000;6B877A669A4A6
BUTTAACFu016111;21/05/2024;27000;6B800000B397
BUTTAACFu016120;21/05/2024;60000;6B85B49884389
BUTTAACFu016130;21/05/2024;15000;6B8000009B80
BUTTAACFv016157;22/05/2024;15000;6B800000905A
BUTTAACFv016176;22/05/2024;16000;6B8000005783
BUTTAACFv016177;22/05/2024;41000;6B8565AA40858
BUTTAACFv016184;22/05/2024;12000;6B8000004568
BUTTAACFv016185;22/05/2024;3000;6B8000004568
BUTTAACFv016217;22/05/2024;36000;6B8A3B6704640
BUTTAACFv016234;22/05/2024;12000;6B8000009B80
BUTTAACFv016239;22/05/2024;15000;6B88705667030
BUTTAACFv016249;22/05/2024;26000;6B85B49444785
BUTTAACFv016266;22/05/2024;13000;6B8000006A93
BUTTAACFw016270;23/05/2024;31000;6B8B3AB530455
BUTTAACFw016271;23/05/2024;21000;6B800000795B
BUTTAACFw016288;23/05/2024;48000;6B80000034B4
BUTTAACFw016295;23/05/2024;18000;6B85389664A4A
BUTTAACFw016297;23/05/2024;24000;6B8000007334
BUTTAACFw016317;23/05/2024;13000;6B8AB56033736
BUTTAACFw016319;23/05/2024;16000;6B85A5855383A
BUTTAACFw016320;23/05/2024;26000;6B80000059AA
BUTTAACFw016324;23/05/2024;12000;6B80000096B3
BUTTAACFw016327;23/05/2024;27000;6B8A348705083
BUTTAACFw016347;23/05/2024;28000;6B89667A5BB85
BUTTAACFw016348;23/05/2024;16000;6B8969A046530
BUTTAACFx016370;24/05/2024;24000;6B8000004568
BUTTAACFx016371;24/05/2024;15000;6B8000004568
BUTTAACFx016373;24/05/2024;11000;6B8BA5B469B00
BUTTAACFx016384;24/05/2024;12000;6B87844075355
BUTTAACFx016391;24/05/2024;15000;6B8A345363599
BUTTAACFx016392;24/05/2024;31000;6B8A343B04800
BUTTAACFx016393;24/05/2024;15000;6B8A347A44694
BUTTAACFx016401;24/05/2024;23000;6B8A6B89740
BUTTAACFx016431;24/05/2024;13000;6B89536006A84A
BUTTAACFx016441;24/05/2024;14000;6B8000003535
BUTTAACFx016460;24/05/2024;11000;6B8000005445
BUTTAACFx016476;24/05/2024;14000;6B83A5094AA96
BUTTAACFx016486;24/05/2024;10000;6B8BB54095A49
BUTTAACFx016490;24/05/2024;16000;6B8000009377
BUTTAACFy016498;25/05/2024;16000;6B800000A039
BUTTAACFy016500;25/05/2024;13000;6B8BB5599B909
BUTTAACFy016502;25/05/2024;25000;6B8000009666
BUTTAACFy016504;25/05/2024;16000;6B8000007464
BUTTAACFy016518;25/05/2024;11000;6B8000009094
BUTTAACFy016539;25/05/2024;22000;6B8A770054540
BUTTAACFy016555;25/05/2024;15000;6B85B49884389
BUTTAACFy016585;25/05/2024;13000;6B8B3AB530455
BUTTAACFy016606;25/05/2024;30000;6B8BA5400600A
BUTTAACFy016611;25/05/2024;18000;6B8AB54537554
BUTTAACFz016615;26/05/2024;15000;6B800000905A
BUTTAACFz016646;26/05/2024;55000;6B8000000005
BUTTAACFz016651;26/05/2024;31000;6B800000A039
BUTTAACFz016663;26/05/2024;13000;6B8000007567
BUTTAACFz016670;26/05/2024;27000;6B8000000774
BUTTAACFz016688;26/05/2024;25000;6B8000004450
BUTTAACFz016696;26/05/2024;11000;6B8000004B4B
BUTTAACFz016713;26/05/2024;24000;6B8B350057B00
BUTTAACF0016758;27/05/2024;26000;6B80000044A0
BUTTAACF0016770;27/05/2024;22000;6B8000004766
BUTTAACF0016781;27/05/2024;27000;6B8B3533339A3
BUTTAACF0016782;27/05/2024;13000;6B8AB56033736
BUTTAACF0016785;27/05/2024;15000;6B8AB55577897
BUTTAACF0016803;27/05/2024;23000;6B800000950B
BUTTAACF0016815;27/05/2024;12000;6B8000008695
BUTTAACF1016831;28/05/2024;32000;6B800000A039
BUTTAACF1016857;28/05/2024;27000;6B8A3484B44B8
BUTTAACF1016861;28/05/2024;32000;6B800004836
BUTTAACF1016863;28/05/2024;26000;6B800000683A
BUTTAACF1016868;28/05/2024;13000;6B85845509B89
BUTTAACF1016911;28/05/2024;54000;6B897AABBB35
BUTTAACF1016913;28/05/2024;15000;6B8AB55577897
BUTTAACF1016917;28/05/2024;14000;6B8000006960
BUTTAACF1016923;28/05/2024;44000;6B8000007AA7
BUTTAACF1016930;28/05/2024;28000;6B8000004638
BUTTAACF1016933;28/05/2024;39000;6B8B358875399
BUTTAACF1016935;28/05/2024;11000;6B8B358875399
BUTTAACF1016943;28/05/2024;22000;6B8000007B7B
BUTTAACF2016947;29/05/2024;31000;6B800000A039
BUTTAACF2016965;29/05/2024;11000;6B8000007BA8
BUTTAACF2016969;29/05/2024;13000;6B8000007884
BUTTAACF2016974;29/05/2024;13000;6B8AB56033736
BUTTAACF2016975;29/05/2024;29000;6B8000003B6B
BUTTAACF2016987;29/05/2024;80000;6B8BA48346383
BUTTAACF2016995;29/05/2024;32000;6B896B448ABA9
BUTTAACF2017000;29/05/2024;15000;6B85B48044555
BUTTAACF2017008;29/05/2024;13000;6B89536006A84A
BUTTAACF2017013;29/05/2024;13000;6B878AA470960
BUTTAACF3017037;30/05/2024;35000;6B8000004766
BUTTAACF3017039;30/05/2024;37000;6B85B8409A935
BUTTAACF3017054;30/05/2024;44000;6B800000993B
BUTTAACF3017055;30/05/2024;24000;6B8000004450
BUTTAACF3017057;30/05/2024;26000;6B80000087A3
BUTTAACF3017066;30/05/2024;16000;6B8000008A86
BUTTAACF3017067;30/05/2024;55000;6B8B350057B00
BUTTAACF3017097;30/05/2024;11000;6B85345078A3A
BUTTAACF3017102;30/05/2024;22000;6B87765A8AB89
BUTTAACF3017103;30/05/2024;15000;6B8969BB90603
BUTTAACF3017104;30/05/2024;41000;6B8BA490AB8AA
BUTTAACF3017105;30/05/2024;14000;6B8000008876
BUTTAACF3017117;30/05/2024;53000;6B858B8608446
BUTTAACF3017136;30/05/2024;22000;6B8000007AA7
BUTTAACF3017137;30/05/2024;16000;6B8000003AA7
BUTTAACF4017156;31/05/2024;27000;6B8565AA40858
BUTTAACF4017192;31/05/2024;13000;6B8000007884
BUTTAACF4017206;31/05/2024;15000;6B8969BB90603
BUTTAACF4017217;31/05/2024;14000;6B8954A556A789
BUTTAACF4017220;31/05/2024;12000;6B8000006A9B
BUTTAACF4017226;31/05/2024;10000;6B85B467733BB
BUTTAACF4017238;31/05/2024;40000;6B8000005AA8
BUTTAACF4017245;31/05/2024;26000;6B8A95B8A7A74
BUTTAACF4017260;31/05/2024;13000;6B800000B893
BUTTAACF4017274;31/05/2024;45000;6B8BA5400600A
CZDKAACFa006873;01/05/2024;11000;6B8953653A486B
CZDKAACFa006890;01/05/2024;16000;6B8BBA3A06504
CZDKAACFa006899;01/05/2024;15000;6B8ABA57AA40
CZDKAACFa006907;01/05/2024;15000;6B800000A039
CZDKAACFa006919;01/05/2024;16000;6B853896530B7
CZDKAACFa006921;01/05/2024;32000;6B80000063B7
CZDKAACFa006923;01/05/2024;27000;6B800000A0A0
CZDKAACFa006926;01/05/2024;28000;6B8000000686
CZDKAACFa006931;01/05/2024;26000;6B8000009083
CZDKAACFa006937;01/05/2024;13000;6B800000A4A4
CZDKAACFb006945;02/05/2024;15000;6B8AB50530046
CZDKAACFb006948;02/05/2024;25000;6B800000377A
CZDKAACFb006951;02/05/2024;15000;6B800000A039
CZDKAACFb006957;02/05/2024;16000;6B8575A6B8533
CZDKAACFb006965;02/05/2024;16000;6B8000000904
CZDKAACFb006969;02/05/2024;13000;6B800000083B
CZDKAACFb006978;02/05/2024;30000;6B800000875B
CZDKAACFc007008;03/05/2024;18000;6B8000003763
CZDKAACFc007013;03/05/2024;25000;6B85753994944
CZDKAACFc007023;03/05/2024;48000;6B8AB94809060
CZDKAACFc007026;03/05/2024;16000;6B8000008A86
CZDKAACFc007029;03/05/2024;14000;6B800000B0A9
CZDKAACFc007039;03/05/2024;13000;6B8000009094
CZDKAACFc007051;03/05/2024;15000;6B80000038A7
CZDKAACFc007055;03/05/2024;43000;6B8384A844598
CZDKAACFd007080;04/05/2024;44000;6B800000B430
CZDKAACFd007106;04/05/2024;15000;6B800000A039
CZDKAACFd007108;04/05/2024;30000;6B800000757A
CZDKAACFd007118;04/05/2024;70000;6B8000035564
CZDKAACFd007126;04/05/2024;11000;6B8000007036
CZDKAACFd007144;04/05/2024;22000;6B878A6638344
CZDKAACFd007149;04/05/2024;15000;6B8000008A55
CZDKAACFd007155;04/05/2024;12000;6B8000006A9B
CZDKAACFd007165;04/05/2024;16000;6B8000004005
CZDKAACFe007191;05/05/2024;10000;6B8000003B38
CZDKAACFe007192;05/05/2024;15000;6B800000905A
CZDKAACFe007193;05/05/2024;15000;6B800000905A
CZDKAACFe007202;05/05/2024;42000;6B8784890B3A6
CZDKAACFe007232;05/05/2024;24000;6B800000BA46
CZDKAACFe007236;05/05/2024;15000;6B800000A039
CZDKAACFe007239;05/05/2024;13000;6B877B4BB0843
CZDKAACFf007241;06/05/2024;13000;6B8000004766
CZDKAACFf007247;06/05/2024;15000;6B80000048A5
CZDKAACFf007256;06/05/2024;13000;6B80000037B0
CZDKAACFf007257;06/05/2024;12000;6B80000037B0
CZDKAACFf007259;06/05/2024;38000;6B877A669A4A6
CZDKAACFf007282;06/05/2024;15000;6B8BB55705B60
CZDKAACFf007288;06/05/2024;16000;6B853896530B7
CZDKAACFf007289;06/05/2024;37000;6B85B5A6B6950
CZDKAACFf007295;06/05/2024;15000;6B8AB50530046
CZDKAACFf007296;06/05/2024;11000;6B80000099B4
CZDKAACFf007297;06/05/2024;36000;6B80000044A0
CZDKAACFf007303;06/05/2024;24000;6B800000B989
CZDKAACFf007312;06/05/2024;14000;6B800000A6B9
CZDKAACFg007321;07/05/2024;11000;6B8000009956
CZDKAACFg007326;07/05/2024;33000;6B85B8409A935
CZDKAACFg007341;07/05/2024;34000;6B8000007455
CZDKAACFg007348;07/05/2024;23000;6B8000008377
CZDKAACFg007351;07/05/2024;16000;6B80000045B7
CZDKAACFg007357;07/05/2024;15000;6B8389A96999B
CZDKAACFg007362;07/05/2024;26000;6B8A350865353
CZDKAACFg007366;07/05/2024;15000;6B8BA5956A583
CZDKAACFg007371;07/05/2024;12000;6B8AB50530046
